stage,target_name,target_path,render_seed,seed_role,candidate_index,prompt_id,prompt_source,prompt,negative_prompt,clip_model,clip_iisim,lpips_alex,pixel_mse_01,pixel_rmse_01,pixel_ssim_01,color_hist_sim,edge_rmse,edge_sim,layout_sim,visual_specific_score,model_id,num_inference_steps,guidance_scale,original_inference_steps,width,height,clip_norm,lpips_norm,rmse_norm,ssim_norm,color_norm,edge_norm,layout_norm,combined_score,is_pareto,pareto_rank,selection_score,stage1_selection_score,stage1_combined_score,validation_count,validation_mean_selection,validation_mean_combined,validation_mean_clip,validation_mean_visual,validation_worst_selection,validation_best_selection,robustness_score
stage1_fixed_seed,9338.png,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\9338.png,9338,fixed,112,9338_ronda_11_token_compression_dragon_short_dense_112,ronda_11_token_compression_dragon_short_dense,"fantasy hamster dragon, orange muzzle, teal belly, orange teal quills, small paws, storybook painting",,openai/clip-vit-large-patch14,0.81038498878479,0.6043225526809692,0.012840312905609608,0.11331510449013232,0.6887755297243103,0.8505785906756366,0.05549786040559877,0.9445021395944012,0.9857867589176794,0.9104934664456128,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.8191406226336228,0.8567460509858063,0.976602659341671,1.0,0.9444357853302865,0.8017427574208011,0.9110225550326377,0.8897270394961005,True,0,0.9197270394961006,0.9197270394961006,0.8897270394961005,3,0.7974513560597861,0.767451356059786,0.8023110826810201,0.8946841042578747,0.7787591681821365,0.8275735916394046,0.8612383143271212
stage1_fixed_seed,9338.png,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\9338.png,9338,fixed,132,9338_ronda_11_token_compression_dragon_short_dense_132,ronda_11_token_compression_dragon_short_dense,"orange teal dragon hamster, orange muzzle, blue green belly, rainbow bristles, tiny claws, storybook painting",,openai/clip-vit-large-patch14,0.8342920541763306,0.5957731008529663,0.014822016470134258,0.121745704113674,0.631695072271005,0.8153946487991898,0.05445918250973919,0.9455408174902609,0.9789348380022809,0.8936538456816829,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.920382194544232,0.8947481509094237,0.8771289572993884,0.8252353728277869,0.8622016458187485,0.8204674485593618,0.8422055260733714,0.8762895433272012,True,0,0.9062895433272012,0.9062895433272012,0.8762895433272012,3,0.7304516385017245,0.7204516385017246,0.812087873617808,0.8666277940406811,0.6551112239421605,0.7791933184088639,0.8181478014445774
stage1_fixed_seed,9338.png,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\9338.png,9338,fixed,2,9338_ronda_11_token_compression_dragon_short_dense_002,ronda_11_token_compression_dragon_short_dense,"orange teal dragon hamster, rainbow quills, tiny paws, storybook painting",,openai/clip-vit-large-patch14,0.7918423414230347,0.5986425280570984,0.016099408268928528,0.12688344363599424,0.6029049227579654,0.8010140878182871,0.050110246608071785,0.9498897533919282,0.980858297019091,0.8890894126092223,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.7406162728005186,0.881993618627271,0.8165081244719076,0.7370878706814585,0.8285904870091274,0.898867578055447,0.8615237196859556,0.8233199757112627,False,1,0.8233199757112627,0.8233199757112627,0.8233199757112627,3,0.7761196979074247,0.7561196979074246,0.8145907521247864,0.8462149759865811,0.7081472386128185,0.8138099797659137,0.7985761331586564
stage1_fixed_seed,9338.png,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\9338.png,9338,fixed,170,9338_ronda_11_token_compression_dragon_short_dense_170,ronda_11_token_compression_dragon_short_dense,"orange teal dragon hamster, pointed orange snout, teal belly, rainbow spines, tiny paws, storybook painting",,openai/clip-vit-large-patch14,0.7957760691642761,0.6031346917152405,0.015486208721995354,0.12444359654877929,0.6055986265473204,0.8126729329427084,0.05320934251621971,0.9467906574837803,0.9733005259044388,0.8917396551244297,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.757274811749953,0.8620260633214666,0.8452961861780561,0.7453352491970237,0.8558402789702406,0.8429988492414795,0.7856175088457693,0.8208765438503305,False,1,0.8208765438503305,0.8208765438503305,0.8208765438503305,3,0.7687093742128853,0.7487093742128851,0.8233048319816589,0.8559954549709405,0.6722082147772522,0.827595495483965,0.7939757612787066
stage1_fixed_seed,9338.png,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\9338.png,9338,fixed,207,9338_ronda_11_token_compression_dragon_short_dense_207,ronda_11_token_compression_dragon_short_dense,"orange teal dragon hamster, pointed orange snout, teal oval belly, rainbow spines, small paws, storybook painting",,openai/clip-vit-large-patch14,0.792415201663971,0.6009260416030884,0.015668468549847603,0.12517375343836104,0.6110769063275998,0.8422444661458335,0.05231990235378529,0.9476800976462147,0.9806583001283736,0.906829703967475,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.7430422197048174,0.8718434579272116,0.8366809734860007,0.7621082318615162,0.9249567411203723,0.859033167863454,0.8595150578829086,0.8376189687461705,False,1,0.8376189687461705,0.8376189687461705,0.8376189687461705,3,0.7326371904121957,0.7226371904121955,0.8122858802477518,0.8578982024580032,0.6549676869284139,0.8151940032978805,0.7897446511636576
stage1_fixed_seed,9338.png,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\9338.png,9338,fixed,190,9338_ronda_11_token_compression_dragon_short_dense_190,ronda_11_token_compression_dragon_short_dense,"spiky hamster dragon, pointed orange snout, teal belly, orange teal quills, small paws, storybook painting",,openai/clip-vit-large-patch14,0.8089925646781921,0.6371832489967346,0.012545730918645859,0.11200772704883293,0.6162662274013779,0.8222763626663773,0.05074644500734771,0.9492535549926523,0.9742744784115567,0.8971180031296093,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.8132439890230383,0.7106810762863622,0.9920285696991581,0.7779965026147357,0.8782860237494551,0.8873985571233822,0.795399366913724,0.8186441800768651,True,0,0.8486441800768652,0.8486441800768652,0.8186441800768651,3,0.707222604420775,0.6972226044207749,0.7736563682556152,0.888600554499769,0.6719421711626856,0.7317502596724457,0.7780844972107618
stage1_fixed_seed,9338.png,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\9338.png,9338,fixed,130,9338_ronda_11_token_compression_dragon_short_dense_130,ronda_11_token_compression_dragon_short_dense,"spiky hamster dragon, pointed orange snout, teal belly, rainbow spines, tiny paws, storybook painting",,openai/clip-vit-large-patch14,0.8143520951271057,0.6268184185028076,0.013818458653986454,0.11755194023914048,0.6275906441341769,0.8611896656177662,0.06875109156912437,0.9312489084308756,0.988136549809864,0.9110997774407741,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.8359405131870951,0.7567524890559432,0.9266117030967489,0.8126687452096621,0.9692366623958155,0.5628210848655432,0.9346225979800511,0.8240019719858911,True,0,0.8540019719858911,0.8540019719858911,0.8240019719858911,3,0.6668511183059506,0.6668511183059506,0.7667869726816813,0.8814871482347338,0.648411600566314,0.6821287249280064,0.7608742343652656
stage1_fixed_seed,9338.png,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\9338.png,9338,fixed,113,9338_ronda_11_token_compression_dragon_short_dense_113,ronda_11_token_compression_dragon_short_dense,"orange teal dragon hamster, pointed orange snout, turquoise belly, rainbow quills, tiny claws, storybook painting",,openai/clip-vit-large-patch14,0.8254084587097168,0.6085600256919861,0.016350049525499344,0.12786731218532493,0.6086759787564197,0.808625962999132,0.05146602714307223,0.9485339728569278,0.9780940925830793,0.8914873923661499,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.8827619699567262,0.837910589247681,0.8048993360944352,0.7547572534257173,0.846381444252183,0.874426341873614,0.8337615287513157,0.8390384829411404,False,1,0.8390384829411404,0.8390384829411404,0.8390384829411404,3,0.6509705510503219,0.6509705510503219,0.7335097392400106,0.8722337131990644,0.6017861943138344,0.6788806430389581,0.7442725951203778
stage1_fixed_seed,9338.png,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\9338.png,9338,fixed,149,9338_ronda_11_token_compression_dragon_short_dense_149,ronda_11_token_compression_dragon_short_dense,"fantasy hamster dragon, upright body, orange face, blue green belly, rainbow bristles, storybook painting",,openai/clip-vit-large-patch14,0.7527065277099609,0.6318903565406799,0.018601400777697563,0.1363869523733761,0.5641134274710274,0.8671377676504629,0.06198056632486415,0.9380194336751358,0.9698293123929115,0.9124846597075881,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.5748840412019732,0.7342078511073082,0.7043750332670125,0.6183190045275698,0.9831389435587197,0.6848762422439297,0.7507544968968523,0.7233907286114309,False,1,0.7233907286114309,0.7233907286114309,0.7233907286114309,3,0.7383782851465979,0.7183782851465977,0.7545663913091024,0.9080949209432481,0.6466955927494965,0.7927676039513527,0.7298746354600175
stage1_fixed_seed,9338.png,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\9338.png,9338,fixed,115,9338_ronda_11_token_compression_dragon_short_dense_115,ronda_11_token_compression_dragon_short_dense,"quilled dragon hamster, upright body, orange face, turquoise belly, rainbow spines, storybook painting",,openai/clip-vit-large-patch14,0.7676894664764404,0.6566433906555176,0.012394843623042107,0.11133213203312917,0.6368619089479128,0.8324731897424767,0.052117407600019275,0.9478825923999807,0.9815499290317792,0.9026818285304636,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.6383337472916023,0.6241812324691748,1.0,0.8410548025553465,0.9021186944404082,0.8626836274877141,0.8684701017055371,0.7719469974748604,True,0,0.8019469974748604,0.8019469974748604,0.7719469974748604,3,0.6297030283467843,0.6197030283467843,0.7459487318992615,0.8810402802531327,0.5519891492230133,0.7730321289201881,0.7295529900844558
